latitude,longitude,year,featureid
42.6547222,-70.9169444,1999,201474071
42.1293099,-72.0307869,1999,201483835
42.1154159,-72.0375062,1999,201483835
42.0631471,-72.0643716,1999,201484836
42.1590791,-72.5358863,2000,201484652
42.1680657,-71.6031677,2000,201481657
42.1585379,-71.6074224,2000,201481838
42.1731901,-71.627312,2000,201481640
42.5300165,-72.0258905,2000,201477927
42.589252,-72.0368376,2000,201477357
42.690872,-72.2245417,2000,201476776
42.6838594,-72.2498695,2000,201476853
42.6038261,-72.2656979,2000,201477629
42.6221418,-72.27406,2000,201477551
42.6628348,-72.264779,2000,201477063
42.1651757,-72.1421673,2000,201483400
42.058032,-72.184864,2000,201485385
42.0771932,-72.2035924,2000,201485020
42.256041,-71.6041321,2000,201480464
42.3344552,-71.660787,2000,201479546
42.5412372,-72.7270538,2000,201479424
42.6507947,-72.8666086,2000,201478367
42.67727,-71.75685,2000,201475837
42.6783676,-71.792346,2000,201475902
42.7002232,-71.7959748,2000,201475608
42.6934154,-71.8534127,2000,201475997
42.6964631,-71.7546502,2000,201475646
42.161502,-71.1916669,2000,201480642
42.6610102,-70.9037856,2000,201473935
42.723159,-72.8798963,2000,201477574
42.7053601,-72.8746773,2000,201477780
42.7019426,-72.9279617,2000,201478070
42.6823922,-72.9219099,2000,201478070
42.6518808,-72.9293191,2000,201478442
42.6666892,-72.9878596,2000,201478482
42.6701489,-72.9927693,2000,201478374
42.628775,-72.8762085,2000,201478607
42.6084039,-72.8804594,2000,201478891
42.6248735,-72.8805564,2000,201478655
42.7069092,-72.8257543,2000,201477624
42.6842996,-72.9441739,2000,201478296
42.6750899,-72.7737212,2000,201477849
42.6795349,-72.7851235,2000,201477814
42.6750486,-72.9956047,2000,201478294
42.6184651,-72.7894347,2000,201478552
42.6163438,-72.8275885,2000,201478710
42.6069621,-72.805968,2000,201478650
42.6647836,-72.9701633,2000,201478364
42.5954646,-72.7607965,2000,201478733
42.6044049,-72.8425076,2000,201478774
42.6615517,-72.8531001,2000,201478192
42.70193,-72.91613,2000,201477974
42.6986527,-72.9051629,2000,201477935
42.6179162,-72.8420912,2000,201478774
42.6171939,-72.3951793,2000,201477771
42.6801031,-72.7390873,2000,201477722
42.5470057,-72.7452455,2000,201479300
42.6234174,-72.179887,2000,201477285
42.6050383,-72.1245026,2000,201477529
42.2158112,-72.3460312,1998,201483289
42.21391,-71.6508896,1998,201481211
42.6613362,-71.7077118,1998,201475933
41.3774235,-70.7430835,2000,201491251
41.3748705,-70.7417627,2000,201491251
42.592594,-72.761168,2000,201478835
42.5576096,-72.7416802,2000,201479259
42.5364008,-72.7426097,2000,201479424
42.5082522,-72.7767124,2000,201479843
42.4822089,-72.7609123,2000,201480232
42.5597968,-72.9227404,2000,201479576
42.5914021,-72.940028,2000,201479182
42.7091889,-72.3488196,2000,201476722
42.5601478,-72.9474679,2000,201479811
42.6860564,-73.0109898,2000,201478285
42.6805183,-72.7419041,2000,201477743
42.643013,-72.9907049,2000,201478691
42.582599,-72.8168414,2000,201479031
42.584775,-72.8326251,2000,201478976
42.21082,-72.3467,1998,201483289
42.59396,-72.3617,2000,201477986
42.5765061,-72.4351698,2000,201478329
42.30898,-71.8205,2001,201480164
42.38592,-72.97795,2001,201482330
42.34615,-72.84373,2001,201482600
42.1666,-71.59939,2001,201481658
42.08609,-72.72749,2001,201486600
42.14869,-72.79305,2001,201485668
42.45548,-72.84052,2001,201480848
42.29371,-72.95889,2001,201484185
42.13053,-72.82286,2001,201486048
42.11608,-72.80048,2001,201486245
42.16534,-72.84968,2001,201485590
42.51293,-72.92224,2001,201480231
42.07259,-72.84678,2001,201487231
42.05127,-72.96998,2001,201487771
42.398571,-73.052157,2001,201482288
42.56391,-73.00694,2001,201479906
42.56728,-73.03719,2001,201479702
42.20036,-72.92242,2001,201485146
42.509882,-73.026938,2001,201480673
42.19635,-72.95284,2001,201485329
42.37928,-72.91122,2001,201482306
42.52439119,-73.00811039,2001,201480300
42.0465373,-73.1373839,2001,201488192
42.410184,-72.939054,2001,201482018
42.522542,-72.983136,2001,201480189
42.09502,-73.10275,2001,201487444
42.182698,-72.877162,2001,201485336
42.5239,-72.99212,2001,201480217
42.16769,-72.96786,2001,201485900
42.27596,-72.99338,2001,201484109
42.35851,-73.09594,2001,201483425
42.40378,-71.57526,2001,201478376
42.30229,-71.67967,2001,201479966
42.4152,-71.54126,2001,201478210
42.406942,-71.653597,2001,201478563
42.40025,-72.98505,2001,201482073
42.090693,-72.813539,2001,201486912
42.3475,-72.8968,2001,201482698
42.6272,-72.8119,2001,201478564
42.33499,-73.09579,2001,201483475
42.32162,-73.08592,2001,201483731
42.413604,-72.903436,2001,201481716
42.099164,-70.7142301,2001,201480129
42.0809883,-70.8574383,2001,201480870
42.43621,-72.93034,2001,201481356
42.357215,-71.334653,2001,201478377
42.09291,-71.51974,2001,201482685
42.029286,-71.60555,2001,201483971
42.18437,-71.70859,2001,201481710
42.19051,-71.62673,2001,201481428
42.39152,-71.6605,2001,201478696
42.39737,-71.59821,2001,201478559
42.36959,-71.63954,2001,201478884
42.3247209,-71.7414138,2001,201479746
42.18275,-71.62805,2001,201481640
42.3041635,-71.7625926,2001,201480103
42.05887043,-71.46238598,2001,201483118
42.04327,-71.52483,2001,201483446
42.07832,-71.6521,2001,201483249
42.50878,-71.88974,1998,201477895
42.5073035,-71.8893461,1998,201477895
42.36742,-71.84155,2001,201479451
42.37415,-71.82658,2001,201479391
42.36417,-71.77575,2001,201479654
42.35718,-71.78034,2001,201479654
42.06953,-71.721190000000007,2001,201483610
42.1771,-71.71967,2001,201481859
42.47256,-72.84603,2001,201480844
42.2566015,-71.6339457,2001,201480412
42.249134,-71.657837,2001,201480705
42.1244724,-72.7220198,2001,201485831
42.09781,-72.68166,2001,201486445
42.62999,-72.73613,2001,201478298
42.69925,-72.55444,2001,201477214
42.64467,-72.54356,2001,201477809
42.54168,-72.72753,2001,201479307
42.54147,-72.72705,2001,201479308
42.02991,-71.79372,2001,201484599
42.68254,-72.91743,2001,201478071
42.68073,-72.74178,2001,201477743
42.10546,-72.74558,2001,201486254
42.11608,-72.80048,2001,201486245
42.15657,-72.70679,2001,201485217
42.10148,-73.14068,2001,201487424
42.55112,-72.44986,2001,201478593
42.44623547,-72.85945606,2001,201480980
42.236417,-72.857231,2001,201484557
42.500728,-71.420496,2001,201477075
42.24662,-71.59693,2001,201480724
42.4365053,-71.569882,2001,201478047
42.17534,-71.72853,2001,201482122
42.31601,-71.77864,2001,201480010
42.02425,-71.48753,2001,201483894
42.13322,-71.60939,2001,201482236
42.48314,-72.97816,2001,201480885
42.67759,-72.74203,2001,201477790
42.03581,-71.4673,2001,201483397
42.43619,-72.9233,2001,201481454
42.04683,-72.78735,2001,201487296
42.13375,-72.7012777,2001,201485603
42.0911666,-72.8129333,2001,201486657
42.0655833,-72.7360666,2001,201486754
42.135281,-72.699063,2001,201485603
42.16058,-72.73167,2001,201485572
42.085314,-72.749949,2001,201486726
42.08011,-72.66219,2001,201486446
42.08374,-72.66943,2001,201486358
42.37361,-72.92423,2001,201482341
42.537167,-72.8548178,2001,201479720
42.36404,-71.34217,2001,201478390
42.4336224,-71.7006244,2002,201478357
42.45275,-71.74625,2002,201478206
42.4546333,-71.6462588,2002,201477960
42.4679166,-71.7331944,2002,201478023
42.54735,-71.89852,2002,201477498
